epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
76,276.748,0.60552,0.44957,0.85178,0.92355,0,0.7462,1,0.995,0.962,0.7462,1,0.995,0.995,0.41175,0.17156,1.93414,0.70105,0,0.000515,0.000515,0.000515
77,280.288,0.7196,0.5916,0.95769,1.09225,0,0.7419,1,0.9125,0.9125,0.7419,1,0.9125,0.9125,0.33148,0.18348,1.84232,0.67322,0,0.0004952,0.0004952,0.0004952
78,283.679,0.5158,0.44569,0.84092,0.90122,0,0.7419,1,0.9125,0.9125,0.7419,1,0.9125,0.9125,0.33148,0.18348,1.84232,0.67322,0,0.0004754,0.0004754,0.0004754
79,287.122,0.59265,0.62671,0.93625,1.05047,0,0.7419,1,0.9125,0.9125,0.7419,1,0.9125,0.9125,0.33148,0.18348,1.84232,0.67322,0,0.0004556,0.0004556,0.0004556
80,290.561,0.62542,0.38568,0.84155,0.96116,0,0.7419,1,0.9125,0.9125,0.7419,1,0.9125,0.9125,0.33148,0.18348,1.84232,0.67322,0,0.0004358,0.0004358,0.0004358
81,294.057,0.64152,0.44397,0.89046,0.97439,0,0.7419,1,0.9125,0.9125,0.7419,1,0.9125,0.9125,0.33148,0.18348,1.84232,0.67322,0,0.000416,0.000416,0.000416
82,297.568,0.61693,0.37783,0.79275,0.9579,0,0.74151,1,0.83,0.797,0.74151,1,0.83,0.8025,0.34125,0.20167,1.81068,0.69294,0,0.0003962,0.0003962,0.0003962
83,301.054,0.70622,0.6689,1.08216,1.06805,0,0.74151,1,0.83,0.797,0.74151,1,0.83,0.8025,0.34125,0.20167,1.81068,0.69294,0,0.0003764,0.0003764,0.0003764
84,304.517,0.4751,0.38279,0.76222,0.93261,0,0.74151,1,0.83,0.797,0.74151,1,0.83,0.8025,0.34125,0.20167,1.81068,0.69294,0,0.0003566,0.0003566,0.0003566
85,307.99,0.46423,0.7229,0.8074,0.95424,0,0.74151,1,0.83,0.797,0.74151,1,0.83,0.8025,0.34125,0.20167,1.81068,0.69294,0,0.0003368,0.0003368,0.0003368
86,311.45,1.61805,0.71402,2.06108,1.97004,0,0.74151,1,0.83,0.797,0.74151,1,0.83,0.8025,0.34125,0.20167,1.81068,0.69294,0,0.000317,0.000317,0.000317
87,314.796,0.56807,0.40321,0.83145,0.91254,0,0.74151,1,0.83,0.797,0.74151,1,0.83,0.8025,0.34125,0.20167,1.81068,0.69294,0,0.0002972,0.0002972,0.0002972
88,318.903,0.74997,0.46704,1.16384,1.04748,0,0.74137,1,0.83,0.8025,0.74137,1,0.83,0.8025,0.362,0.2034,1.7694,0.70889,0,0.0002774,0.0002774,0.0002774
89,323.118,0.67241,0.53356,0.88288,0.95161,0,0.74137,1,0.83,0.8025,0.74137,1,0.83,0.8025,0.362,0.2034,1.7694,0.70889,0,0.0002576,0.0002576,0.0002576
90,327.499,0.52384,0.34207,0.86093,0.98803,0,0.74137,1,0.83,0.8025,0.74137,1,0.83,0.8025,0.362,0.2034,1.7694,0.70889,0,0.0002378,0.0002378,0.0002378
91,331.128,0.77985,0.8845,1.90275,1.0362,0,0.74137,1,0.83,0.8025,0.74137,1,0.83,0.8025,0.362,0.2034,1.7694,0.70889,0,0.000218,0.000218,0.000218
92,335.463,0.86708,0.61729,3.30986,1.28296,0,0.74137,1,0.83,0.8025,0.74137,1,0.83,0.8025,0.362,0.2034,1.7694,0.70889,0,0.0001982,0.0001982,0.0001982
93,339.586,0.56024,0.45707,1.81854,1.03143,0,0.73858,1,0.83,0.8025,0.73858,1,0.83,0.7805,0.36895,0.20047,1.82768,0.70726,0,0.0001784,0.0001784,0.0001784
94,343.172,0.71271,0.69994,1.78699,1.10804,0,0.73858,1,0.83,0.8025,0.73858,1,0.83,0.7805,0.36895,0.20047,1.82768,0.70726,0,0.0001586,0.0001586,0.0001586
95,346.821,0.71381,0.44186,2.39556,1.12662,0,0.73858,1,0.83,0.8025,0.73858,1,0.83,0.7805,0.36895,0.20047,1.82768,0.70726,0,0.0001388,0.0001388,0.0001388
96,350.657,0.79618,0.55326,2.10852,1.22483,0,0.73858,1,0.83,0.8025,0.73858,1,0.83,0.7805,0.36895,0.20047,1.82768,0.70726,0,0.000119,0.000119,0.000119
97,354.653,0.82017,0.44491,2.61405,1.26218,0,0.73858,1,0.83,0.8025,0.73858,1,0.83,0.7805,0.36895,0.20047,1.82768,0.70726,0,9.92e-05,9.92e-05,9.92e-05
98,358.325,0.38895,0.27494,6.691,0.65511,0,0.73793,1,0.83,0.8025,0.73793,1,0.83,0.7805,0.36742,0.1956,1.94327,0.71574,0,7.94e-05,7.94e-05,7.94e-05
99,362.1,0.59761,0.35284,1.89594,0.96087,0,0.73793,1,0.83,0.8025,0.73793,1,0.83,0.7805,0.36742,0.1956,1.94327,0.71574,0,5.96e-05,5.96e-05,5.96e-05
100,365.789,0.84581,0.38818,2.75722,1.2537,0,0.73793,1,0.83,0.8025,0.73793,1,0.83,0.7805,0.36742,0.1956,1.94327,0.71574,0,3.98e-05,3.98e-05,3.98e-05
